year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Abu Dhabi Grand Prix,tsunoda,54,12,1:31.579,91.57900000000001,8,0.2610000000000099,1,0
2022,Abu Dhabi Grand Prix,tsunoda,55,12,1:32.138,92.138,9,0.5589999999999975,1,0
2022,Abu Dhabi Grand Prix,tsunoda,56,11,1:32.040,92.03999999999999,10,-0.09800000000001319,1,0
2022,Abu Dhabi Grand Prix,tsunoda,57,11,1:31.639,91.639,11,-0.40099999999999625,1,0
2022,Abu Dhabi Grand Prix,vettel,1,9,1:37.455,97.455,1,0.0,1,0
2022,Abu Dhabi Grand Prix,vettel,2,9,1:32.324,92.324,2,-5.131,1,0
2022,Abu Dhabi Grand Prix,vettel,3,9,1:31.488,91.488,3,-0.8359999999999985,1,0
2022,Abu Dhabi Grand Prix,vettel,4,9,1:31.439,91.439,4,-0.049000000000006594,1,0
2022,Abu Dhabi Grand Prix,vettel,5,9,1:31.786,91.786,5,0.3470000000000084,1,0
2022,Abu Dhabi Grand Prix,vettel,52,11,1:31.116,91.116,6,-0.6700000000000017,1,0
2022,Abu Dhabi Grand Prix,vettel,53,11,1:31.056,91.056,7,-0.060000000000002274,1,0
2022,Abu Dhabi Grand Prix,vettel,54,11,1:30.931,90.931,8,-0.125,1,0
2022,Abu Dhabi Grand Prix,vettel,55,11,1:31.304,91.304,9,0.37300000000000466,1,0
2022,Abu Dhabi Grand Prix,vettel,56,10,1:31.485,91.485,10,0.18099999999999739,1,0
2022,Abu Dhabi Grand Prix,vettel,57,10,1:31.227,91.227,11,-0.25799999999999557,1,0
2022,Abu Dhabi Grand Prix,zhou,1,15,1:40.564,100.564,1,0.0,1,0
2022,Abu Dhabi Grand Prix,zhou,2,15,1:33.406,93.406,2,-7.157999999999987,1,0
2022,Abu Dhabi Grand Prix,zhou,3,15,1:32.436,92.436,3,-0.9699999999999989,1,0
2022,Abu Dhabi Grand Prix,zhou,4,14,1:32.818,92.818,4,0.3819999999999908,1,0
2022,Abu Dhabi Grand Prix,zhou,5,14,1:32.456,92.456,5,-0.36199999999999477,1,0
2022,Abu Dhabi Grand Prix,zhou,52,15,1:31.823,91.82300000000001,6,-0.6329999999999956,1,0
